,swarm_size,max_iterations,fitness,k1,k3,k5,k7,k9
122,25.0,50.0,0.8730081348853301,0.7306572379367721,0.7046589018302829,0.7042429284525791,0.7027870216306157,0.694883527454243
123,25.0,50.0,0.8730081348853301,0.6437188019966722,0.6285357737104825,0.6304076539101497,0.6437188019966722,0.6403910149750416
124,25.0,50.0,0.8730081348853301,0.6647254575707154,0.6520382695507487,0.651414309484193,0.6532861896838602,0.6497504159733777
125,25.0,50.0,0.8730081348853301,0.6917637271214643,0.6811564059900166,0.680116472545757,0.6821963394342762,0.6867720465890182
126,25.0,50.0,0.8730081348853301,0.4417637271214642,0.4463394342762063,0.4633943427620632,0.47108985024958405,0.4681780366056572
127,25.0,50.0,0.8730081348853301,0.6235440931780366,0.5990016638935108,0.6031613976705491,0.6085690515806988,0.6023294509151415
128,25.0,50.0,0.8730081348853301,0.4178452579034942,0.425540765391015,0.45777870216306155,0.46235440931780364,0.46630615640599
129,25.0,50.0,0.8730081348853301,0.752495840266223,0.7406405990016639,0.7437603993344426,0.742928452579035,0.7335690515806988
130,25.0,50.0,0.8730081348853301,0.5981697171381032,0.5813227953410982,0.5935940099833611,0.5992096505823628,0.6060732113144759
131,25.0,50.0,0.8730081348853301,0.5877703826955075,0.5707154742096506,0.5806988352745425,0.5806988352745425,0.5854825291181365
132,25.0,50.0,0.8730081348853301,0.612936772046589,0.5954658901830283,0.6083610648918469,0.6121048252911814,0.6118968386023295
133,25.0,50.0,0.8730081348853301,0.5135191347753744,0.5004159733777038,0.5137271214642263,0.519134775374376,0.5185108153078203
134,25.0,50.0,0.8730081348853301,0.7007071547420965,0.6938435940099834,0.690099833610649,0.6836522462562395,0.6817803660565723
135,25.0,50.0,0.8730081348853301,0.6069051580698835,0.5898502495840267,0.5908901830282862,0.6050332778702163,0.6062811980033278
136,25.0,50.0,0.8730081348853301,0.7579034941763727,0.7319051580698835,0.7264975041597338,0.7223377703826955,0.7215058236272879
137,25.0,50.0,0.8730081348853301,0.7710066555740432,0.7635191347753744,0.7608153078202995,0.752287853577371,0.7454242928452579
138,25.0,50.0,0.8730081348853301,0.5954658901830283,0.5784109816971714,0.5948419301164726,0.5952579034941764,0.5979617304492513
139,25.0,50.0,0.8730081348853301,0.533485856905158,0.5133111480865225,0.5245424292845258,0.5372296173044925,0.5355657237936772
140,25.0,50.0,0.8730081348853301,0.6056572379367721,0.5952579034941764,0.6079450915141431,0.6137687188019967,0.6168885191347754
141,25.0,50.0,0.8730081348853301,0.6445507487520798,0.6264559068219634,0.6362312811980033,0.6381031613976705,0.6299916805324459
142,25.0,50.0,0.8730081348853301,0.5409733777038269,0.5522046589018302,0.5617720465890182,0.5659317803660566,0.5663477537437605
