,population,max_generations,combination_prob,mutation_prob,iteration,accuracy
109,25.0,50.0,0.7,0.05,1.0,0.4089018302828619
110,25.0,50.0,0.7,0.05,1.0,0.5950499168053245
111,25.0,50.0,0.7,0.05,1.0,0.44238768718801996
112,25.0,50.0,0.7,0.05,1.0,0.6549500831946755
113,25.0,50.0,0.7,0.05,1.0,0.5112312811980033
114,25.0,50.0,0.7,0.05,1.0,0.7127703826955075
115,25.0,50.0,0.7,0.05,1.0,0.5166389351081531
116,25.0,50.0,0.7,0.05,1.0,0.5796589018302829
117,25.0,50.0,0.7,0.05,1.0,0.48190515806988354
118,25.0,50.0,0.7,0.05,1.0,0.5245424292845258
119,25.0,50.0,0.7,0.05,1.0,0.7204658901830283
120,25.0,50.0,0.7,0.05,1.0,0.45029118136439267
121,25.0,50.0,0.7,0.05,1.0,0.4681780366056572
122,25.0,50.0,0.7,0.05,1.0,0.6524542429284526
123,25.0,50.0,0.7,0.05,1.0,0.4028702163061564
124,25.0,50.0,0.7,0.05,1.0,0.36293677204658903
125,25.0,50.0,0.7,0.05,1.0,0.4180532445923461
126,25.0,50.0,0.7,0.05,1.0,0.4178452579034942
127,25.0,50.0,0.7,0.05,1.0,0.56738768718802
128,25.0,50.0,0.7,0.05,1.0,0.3560732113144759
129,25.0,50.0,0.7,0.05,1.0,0.4652662229617304
130,25.0,50.0,0.7,0.05,1.0,0.4430116472545757
131,25.0,50.0,0.7,0.05,1.0,0.3198835274542429
132,25.0,50.0,0.7,0.05,1.0,0.4163893510815308
133,25.0,50.0,0.7,0.05,1.0,0.5027038269550749
134,25.0,50.0,0.7,0.05,1.0,0.4463394342762063
135,25.0,50.0,0.7,0.05,1.0,0.44654742096505823
136,25.0,50.0,0.7,0.05,1.0,0.41243760399334445
137,25.0,50.0,0.7,0.05,1.0,0.4430116472545757
138,25.0,50.0,0.7,0.05,1.0,0.5349417637271214
139,25.0,50.0,0.7,0.05,1.0,0.5051996672212978
140,25.0,50.0,0.7,0.05,1.0,0.38976705490848584
141,25.0,50.0,0.7,0.05,1.0,0.44987520798668884
142,25.0,50.0,0.7,0.05,1.0,0.4858569051580699
143,25.0,50.0,0.7,0.05,1.0,0.5160149750415973
144,25.0,50.0,0.7,0.05,1.0,0.4396838602329451
145,25.0,50.0,0.7,0.05,1.0,0.41576539101497506
146,25.0,50.0,0.7,0.05,1.0,0.4554908485856905
147,25.0,50.0,0.7,0.05,1.0,0.5170549084858569
148,25.0,50.0,0.7,0.05,1.0,0.4667221297836938
149,25.0,50.0,0.7,0.05,1.0,0.48960066555740434
150,25.0,50.0,0.7,0.05,1.0,0.4059900166389351
151,25.0,50.0,0.7,0.05,1.0,0.4812811980033278
152,25.0,50.0,0.7,0.05,1.0,0.5039517470881864
153,25.0,50.0,0.7,0.05,1.0,0.47920133111480867
154,25.0,50.0,0.7,0.05,1.0,0.4573627287853577
155,25.0,50.0,0.7,0.05,1.0,0.3689683860232945
156,25.0,50.0,0.7,0.05,1.0,0.3735440931780366
157,25.0,50.0,0.7,0.05,1.0,0.45798668885191346
158,25.0,50.0,0.7,0.05,1.0,0.38498336106489184
159,25.0,50.0,0.7,0.05,1.0,0.37707986688851913
160,25.0,50.0,0.7,0.05,1.0,0.5103993344425957
161,25.0,50.0,0.7,0.05,1.0,0.5029118136439268
162,25.0,50.0,0.7,0.05,1.0,0.4089018302828619
163,25.0,50.0,0.7,0.05,1.0,0.47129783693843597
164,25.0,50.0,0.7,0.05,1.0,0.3658485856905158
165,25.0,50.0,0.7,0.05,1.0,0.4660981697171381
166,25.0,50.0,0.7,0.05,1.0,0.3498336106489185
167,25.0,50.0,0.7,0.05,1.0,0.39267886855241263
168,25.0,50.0,0.7,0.05,1.0,0.4045341098169717
169,25.0,50.0,0.7,0.05,1.0,0.4752495840266223
170,25.0,50.0,0.7,0.05,1.0,0.3529534109816972
171,25.0,50.0,0.7,0.05,1.0,0.45757071547420963
172,25.0,50.0,0.7,0.05,1.0,0.3517054908485857
173,25.0,50.0,0.7,0.05,1.0,0.43448419301164726
174,25.0,50.0,0.7,0.05,1.0,0.353369384359401
175,25.0,50.0,0.7,0.05,1.0,0.3198835274542429
176,25.0,50.0,0.7,0.05,1.0,0.528702163061564
177,25.0,50.0,0.7,0.05,1.0,0.439891846921797
178,25.0,50.0,0.7,0.05,1.0,0.37728785357737105
179,25.0,50.0,0.7,0.05,1.0,0.4794093178036606
180,25.0,50.0,0.7,0.05,1.0,0.5403494176372712
181,25.0,50.0,0.7,0.05,1.0,0.6206322795341098
182,25.0,50.0,0.7,0.05,1.0,0.49168053244592347
183,25.0,50.0,0.7,0.05,1.0,0.4636023294509151
184,25.0,50.0,0.7,0.05,1.0,0.7481281198003328
185,25.0,50.0,0.7,0.05,1.0,0.5228785357737105
186,25.0,50.0,0.7,0.05,1.0,0.6701331114808652
187,25.0,50.0,0.7,0.05,1.0,0.4702579034941764
188,25.0,50.0,0.7,0.05,1.0,0.42990848585690516
189,25.0,50.0,0.7,0.05,1.0,0.6200083194675541
190,25.0,50.0,0.7,0.05,1.0,0.552828618968386
191,25.0,50.0,0.7,0.05,1.0,0.514351081530782
192,25.0,50.0,0.7,0.05,1.0,0.47712146422628954
193,25.0,50.0,0.7,0.05,1.0,0.4983361064891847
194,25.0,50.0,0.7,0.05,1.0,0.543053244592346
195,25.0,50.0,0.7,0.05,1.0,0.39143094841930115
196,25.0,50.0,0.7,0.05,1.0,0.6734608985024958
197,25.0,50.0,0.7,0.05,1.0,0.507279534109817
198,25.0,50.0,0.7,0.05,1.0,0.5415973377703827
199,25.0,50.0,0.7,0.05,1.0,0.7171381031613977
200,25.0,50.0,0.7,0.05,1.0,0.617720465890183
201,25.0,50.0,0.7,0.05,1.0,0.5051996672212978
202,25.0,50.0,0.7,0.05,1.0,0.5426372712146422
203,25.0,50.0,0.7,0.05,1.0,0.752287853577371
204,25.0,50.0,0.7,0.05,1.0,0.6572379367720466
205,25.0,50.0,0.7,0.05,1.0,0.538477537437604
206,25.0,50.0,0.7,0.05,1.0,0.5295341098169717
207,25.0,50.0,0.7,0.05,1.0,0.4151414309484193
208,25.0,50.0,0.7,0.05,1.0,0.4860648918469218
209,25.0,50.0,0.7,0.05,1.0,0.6408069883527454
210,25.0,50.0,0.7,0.05,1.0,0.4492512479201331
211,25.0,50.0,0.7,0.05,1.0,0.45944259567387685
212,25.0,50.0,0.7,0.05,1.0,0.4367720465890183
